[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Building CXX object scratch/CMakeFiles/scratch_lab2-part2.dir/lab2-part2.cc.o
[  0%] Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
[  0%] Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
[  0%] Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
[  0%] Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
[  0%] Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
Linking CXX executable /Users/josoesantos/Projects/ns-3-dev-git/build/scratch/ns3-dev-lab2-part2-default
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
2 537805 0.537805 360192 0.360192
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
4 223315 0.223315 225120 0.22512
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
6 162041 0.162041 134282 0.134282
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
8 124747 0.124747 95069.5 0.0950695
